"api_number","reported_on","barrels_oil","mcf_gas","barrels_water","days_producing"
"4900530362","20021201","0","39.06","0",""
"4900533109","20070801","0","2559.05","3609.95",""
"4900537765","20070801","0","430.9","26514.92",""
"4900542060","20050301","0","149.11","14704.85",""
"4900542060","20070801","0","17.98","280.86",""
"4900546748","20070801","0","1683.92","0",""
"4900545009","20070801","0","0","537.85",""
"4900533055","20070101","0","34.1","0",""
"4900537828","20070601","0","18.9","0",""
"4900537829","20070801","0","0","1899.99",""
"4900537830","20070101","0","53.94","0",""
"4900537831","20070201","0","0","7",""
"4900537832","20061001","0","80.91","0",""
"4900537833","20070801","0","1079.11","0",""
"4900537834","20070801","0","1256.12","1421.97",""
"4900530363","20021101","0","84","0",""
"4900535137","20070801","0","120.9","451.05",""
"4900537354","20051201","0","0","21943.97",""
"4900537355","20060501","0","0","18260.86",""
"4900537379","20030601","0","509.1","0",""
"4900537436","20070801","0","2376.15","0",""
"4900532169","20070801","0","311.86","0",""
"4900532170","20060201","0","1289.96","0",""
"4900532171","20040601","0","0","1776",""
"4900532172","20040701","0","14.88","0",""
"4900532174","20070801","0","516.15","0",""
"4900532176","20070801","0","1005.95","0",""
"4900537381","20040901","0",".9","0",""
"4900537370","20040601","0","1425.9","0",""
"4900537371","20050701","0",".93","0",""
"4900537479","20070301","0","182.9","0",""
"4900537481","20070801","0","48.05","0",""
"4900537890","20070601","0","3","0",""
"4900537894","20070601","0","534.9","0",""
"4900537895","20060901","0","111.9","0",""
"4900537893","20031101","0","62.1","0",""
"4900537382","20040701","0","69.13","0",""
"4900537856","20051201","0","52.08","0",""
"4900537383","20070801","0","567.92","0",""
"4900537387","20070801","0","424.08","0",""
"4900537394","20070801","0","411.99","0",""
"4900537395","20070801","0","305.97","0",""
"4900537397","20070801","0","1085","0",""
"4900537398","20070801","0","319.92","0",""
"4900537926","20070801","0","1385.08","0",""
"4900537927","20070801","0","2352.9","0",""
"4900537928","20050601","0","3.9","0",""
"4900543186","20070801","0","0","208.01",""
"4900535117","20070801","0","66.96","1293.94",""
"4900531089","20070801","0","242.11","0",""
"4900531105","20050601","0","0","2400",""
"4900531106","20040901","0",".9","0",""
"4900531074","20070801","0","673.94","0",""
"4900534533","20060601","0","9","0",""
"4900531108","20070801","0","695.02","0",""
"4900537524","20070801","0","65.1","2147.06",""
"4900532289","20021001","0","0","2015",""
"4900529514","20060301","0","518.01","0",""
"4900533916","20060201","0","108.92","0",""
"4900537991","20030701","0","283.96","0",""
"4900537992","20061101","0","2.1","0",""
"4900532826","20070901","0","671.1","798.9",""
"4900532876","20070901","0","831","560.1",""
"4900538004","20070901","0","894.9","0",""
"4900531231","20070801","0","961.93","0",""
"4900531232","20070801","0","1058.96","2085.06",""
"4900532552","20060301","0","646.04","0",""
"4900532553","20060301","0","704.94","0",""
"4900532775","20040801","0","274.97","0",""
